"Year","Mean","Mode","Median","Standard Deviation"
"1987-1990","15.844601612919","16.4109818272962","16.1457767486572","3.76716158704007"
"1993-1996","14.9639190587363","16.0104574459379","15.4145822525024","3.54697517318658"
"2007-2010","13.2844069611538","11.8678463752225","12.8260130882263","3.34458447393869"
"2019-2022","10.8063999037082","11.6292499268294","11.0732984542847","4.04553327850051"
